LocationCode,Region,Season,DOC_mg_L,SR,HIX,FI,C1_pct,C2_pct,C3_pct,Pasture_pct,Crop_pct,Forest_pct,Urban_pct,Water_pct
17,Middle,Wet Season,1.825511467,0.996666667,3.283333333,1.453333333,46.18120559,26.51901948,27.29977493,52.86207494,7.506562828,36.25349452,1.559919313,1.817948399
17,Middle,Dry Season,1.59645,0.896666667,1.463333333,1.646666667,49.70091371,33.55115126,16.74793502,52.86207494,7.506562828,36.25349452,1.559919313,1.817948399
18,Middle,Dry Season,1.59645,0.966666667,1.89,1.58,48.73619419,33.21052759,18.05327823,53.16395371,7.367826385,36.03228328,1.664845367,1.771091266
18,Middle,Wet Season,1.8560817,0.996666667,3.863333333,1.493333333,38.46821286,21.98182135,39.54996579,53.16395371,7.367826385,36.03228328,1.664845367,1.771091266
19,Middle,Dry Season,1.557699,1.01,1.963333333,1.626666667,51.55135603,35.09811485,13.35052912,53.10845109,7.376094276,35.97618769,1.768025296,1.771241649
19,Middle,Wet Season,1.916361033,1.013333333,2.78,1.523333333,46.31073242,27.61127441,26.07799318,53.10845109,7.376094276,35.97618769,1.768025296,1.771241649
20,Middle,Wet Season,1.958126,0.99,4.773333333,1.55,40.26661834,22.64121758,37.09216408,52.88311314,7.289768257,36.05794079,2.032787654,1.736390166
20,Middle,Dry Season,1.458668667,1.063333333,2.273333333,1.64,51.26563941,34.89517707,13.83918352,52.88311314,7.289768257,36.05794079,2.032787654,1.736390166
21,Middle,Wet Season,1.9852517,0.98,5.063333333,1.486666667,40.49783337,22.93786791,36.56429872,52.84987849,7.31029724,36.01595265,2.084349439,1.739522183
21,Middle,Dry Season,1.295053333,1.316666667,2.446666667,1.563333333,51.8325343,33.99003576,14.17742994,52.84987849,7.31029724,36.01595265,2.084349439,1.739522183
22,Middle,Dry Season,1.394083667,1.156666667,2.29,1.623333333,56.85905536,35.24052725,7.900417395,52.81770834,7.31737998,35.979802,2.147760496,1.737349186
22,Middle,Wet Season,1.926264067,1.006666667,5.14,1.503333333,42.03930071,24.06961524,33.89108405,52.81770834,7.31737998,35.979802,2.147760496,1.737349186
23,Pantanal,Dry Season,1.346721333,1.36,2.9,1.57,58.13288205,35.95830958,5.908808369,52.96484695,7.26183129,35.86184728,2.182362292,1.72911219
