timestamp,co2_1,co2_2,ph1,gs3_1_temp,gs3_1_ec,gs3_2_temp,gs3_2_ec
4/27/17 10:05,1340.781802,1295.526022,6.185257,8.3,11,8.5,8
4/27/17 10:05,1342.853831,1354.530681,6.182206,8.3,11,8.5,8
4/27/17 10:06,1349.229418,1377.569228,6.173061,8.3,12,8.5,7
4/27/17 10:06,1364.389832,1389.062695,6.170009,8.3,11,8.5,8
4/27/17 10:06,1399.316555,1398.091762,6.19137,8.3,11,8.5,7
4/27/17 10:06,1399.316555,1387.880772,6.197472,8.3,11,8.5,8
4/27/17 10:06,1380.715711,1374.953851,6.194421,8.3,11,8.5,8
4/27/17 10:06,1386.687522,1346.736162,6.154752,8.3,11,8.5,8
4/27/17 10:06,1429.936714,1321.13273,6.179163,8.3,11,8.5,8
4/27/17 10:06,1500.613524,1308.258525,6.157804,8.3,11,8.5,7
4/27/17 10:06,1487.720715,1295.47909,6.176105,8.3,11,8.5,7
4/27/17 10:06,1502.091657,1305.692595,6.182209,8.3,11,8.5,8
4/27/17 10:06,1503.646237,1328.780309,6.188311,8.3,11,8.5,8
4/27/17 10:06,1489.255331,1333.959078,6.173054,8.3,11,8.5,8
4/27/17 10:07,1458.673753,1319.801439,6.130333,8.3,11,8.5,8
4/27/17 10:07,1435.470341,1333.959078,6.166951,8.3,11,8.5,8
4/27/17 10:07,1443.5191,1359.611774,6.173054,8.3,11,8.5,8
4/27/17 10:07,1439.730204,1374.953851,6.179152,8.3,11,8.5,8
4/27/17 10:07,1434.678962,1374.953851,6.163894,8.3,12,8.5,8
4/27/17 10:07,1405.631071,1376.287159,6.142534,8.3,11,8.5,8
4/27/17 10:07,1411.005773,1386.548426,6.166945,8.3,11,8.5,8
4/27/17 10:07,1417.449421,1390.395576,6.163894,8.3,11,8.5,9
4/27/17 10:07,1401.842176,1362.127972,6.173048,8.3,11,8.5,8
4/27/17 10:07,1386.687522,1318.519417,6.136431,8.3,11,8.5,8
4/27/17 10:07,1386.232709,1297.997633,6.142529,8.3,11,8.5,8
4/27/17 10:07,1391.739692,1278.758815,6.145581,8.3,11,8.5,8
4/27/17 10:08,1424.57555,1287.783847,6.16389,8.3,10,8.5,8
4/27/17 10:08,1459.1387,1314.719556,6.142529,8.3,11,8.5,7
4/27/17 10:08,1486.458369,1326.262892,6.160838,8.3,11,8.5,8
4/27/17 10:08,1494.975369,1326.262892,6.157787,8.3,11,8.5,8
4/27/17 10:08,1466.251545,1295.432646,6.160838,8.3,10,8.5,8
4/27/17 10:08,1451.096891,1295.432646,6.136437,8.3,11,8.5,8
4/27/17 10:08,1448.570341,1316.001624,6.166952,8.3,11,8.5,7
4/27/17 10:08,1434.678962,1327.497344,6.1639,8.3,11,8.5,8
4/27/17 10:08,1408.157621,1309.58845,6.1639,8.3,11,8.5,8
4/27/17 10:08,1444.308507,1282.652742,6.1639,8.3,11,8.5,8
4/27/17 10:08,1489.758486,1274.957499,6.179158,8.3,11,8.5,9
4/27/17 10:08,1532.411554,1239.042592,6.188312,8.3,11,8.5,8
4/27/17 10:09,1554.145801,1233.867295,6.136432,8.3,11,8.5,8
4/27/17 10:09,1554.369882,1272.391475,6.151689,8.3,11,8.5,7
4/27/17 10:09,1572.336909,1318.567649,6.169998,8.3,11,8.5,8
4/27/17 10:09,1581.177046,1346.834216,6.176101,8.3,11,8.5,8
4/27/17 10:09,1590.221275,1341.655264,6.15474,8.3,12,8.5,8
4/27/17 10:09,1589.49661,1336.572577,6.139483,8.3,11,8.5,8
4/27/17 10:09,1597.070987,1341.655264,6.169998,8.3,11,8.5,8
4/27/17 10:09,1543.781865,1364.79232,6.115071,8.3,11,8.5,7
4/27/17 10:09,1496.510693,1408.355935,6.14253,8.3,11,8.5,8
