Year,julian day,C1,C2,C3,B1,B2,B3,B4,E1,E2,E3,E4
2000,49,0.4058678321678315,0.38297972027971955,0.4146720279720272,0.29379720279718313,0.3766790209790201,0.39779510489510406,0.3599349650349642,0.4931286713286708,0.5063440559440555,0.4039111888111882,0.4247909090909084
2000,65,0.5134525874125861,0.49907916083915954,0.5199142657342645,0.5186748251748479,0.5057570629370614,0.5209507692307677,0.49317580419580265,0.5426496503496496,0.5546139860139854,0.49057174825174715,0.5228599999999988
2000,81,0.6048597202797208,0.5984492307692313,0.60940125874125906,0.66827062937063475,0.6151201864801872,0.625250023310024,0.6063334265734271,0.5870235431235433,0.5978400932400934,0.5661737995337996,0.6074351515151521
2000,97,0.6800892307692307,0.6810899300699299,0.6831330069930068,0.7568041958041962,0.7047683916083914,0.7106928671328671,0.699407832167832,0.6262503496503495,0.6360223776223778,0.6307173426573425,0.6785163636363636
2000,113,0.7391411188811188,0.7470012587412586,0.7411095104895103,0.7984951048951049,0.7747016783216781,0.7772793006993004,0.7723990209790209,0.6603300699300698,0.6691608391608389,0.6842023776223773,0.7361036363636363
2000,129,0.7820153846153846,0.7961832167832168,0.7833307692307692,0.8075629370629371,0.8249200466200467,0.8250093240093239,0.8253069930069931,0.6892627039627038,0.6972554778554779,0.7266289044289044,0.7801969696969696
2000,145,0.7577853146853146,0.7715072261072261,0.7562864801864801,0.7825724941724941,0.7947624708624708,0.7900428904428902,0.8046967365967366,0.6988356643356642,0.7053601398601398,0.744151515151515,0.7890918414918415
2000,161,0.7767687645687644,0.8074694638694636,0.7752974358974357,0.8155620046620046,0.8211874125874127,0.8249715617715617,0.8373573426573426,0.7277202797202799,0.7356386946386946,0.7670249417249418,0.8174668997668998
2000,177,0.796523543123543,0.8254857808857811,0.7960930069930069,0.824179254079254,0.8317498834498837,0.834679020979021,0.8448988344988344,0.7468018648018647,0.7519314685314684,0.7765808857808857,0.8276538461538461
2000,193,0.797846853146853,0.831613986013986,0.8016848484848484,0.8258142191142192,0.8328016317016316,0.8323074592074592,0.842051515151515,0.7547251748251749,0.7616939393939393,0.7819205128205127,0.8211121212121211
2000,209,0.7924869463869464,0.8258825174825175,0.799104662004662,0.8177990675990675,0.8283554778554777,0.8320188811188811,0.8361710955710958,0.7512156177156175,0.7645172494172493,0.7908016317016318,0.8099149184149184
2000,225,0.7797895104895106,0.8133277389277388,0.7881641025641026,0.8111771561771562,0.8219902097902096,0.8277468531468534,0.8321433566433567,0.7372291375291374,0.73767668997669,0.7711881118881119,0.7986137529137527
2000,241,0.7710086247086245,0.799541724941725,0.7748820512820512,0.7962519813519814,0.8098909090909091,0.8181638694638694,0.8264799533799534,0.7252167832167832,0.7160354312354312,0.748620979020979,0.7887771561771562
2000,257,0.7570545454545453,0.7801421911421911,0.7615960372960372,0.7849946386946387,0.7919011655011654,0.8104624708624708,0.810534731934732,0.7149342657342658,0.6967610722610723,0.7290552447552447,0.7599135198135198
2000,273,0.80424662004662,0.823469696969697,0.8130452214452214,0.8299018648018648,0.8405319347319348,0.8656312354312354,0.8469853146853147,0.7577580419580421,0.7378170163170163,0.7755310023310024,0.8022020979020978
2000,289,0.7279121212121212,0.7437344988344988,0.7354128205128204,0.7529426573426574,0.7645018648018649,0.7905340326340328,0.7667659673659674,0.6873713286713287,0.6746135198135199,0.6974692307692306,0.7202268065268065
2000,305,0.6664764568764568,0.6797032634032634,0.6815181818181817,0.6864377622377622,0.6964384615384615,0.7263321678321677,0.6900881118881118,0.6369778554778555,0.6191902097902098,0.6493445221445221,0.6729657342657341
2000,321,0.6281447552447552,0.6435741258741258,0.6473454545454544,0.6485030303030302,0.6560417249417249,0.6882806526806526,0.6460186480186481,0.607020979020979,0.5838622377622376,0.6298752913752913,0.6374622377622378
2000,337,0.6073648018648018,0.6232965034965035,0.6277072261072261,0.626274592074592,0.6324599067599067,0.6602853146853146,0.62036993006993,0.581981351981352,0.5624198135198135,0.6135846153846153,0.6052727272727272
2000,353,0.5997662004662003,0.617084615384615,0.6203363636363635,0.6116379953379952,0.62622424242424235,0.6556946386946386,0.6147848484848484,0.5718263403263403,0.5623529137529137,0.6110575757575757,0.5949592074592074
2001,1,0.6039671328671329,0.6206550116550117,0.6227011655011655,0.6098519813519813,0.6356384615384616,0.6667109557109556,0.6297808857808858,0.5681545454545455,0.5690839160839162,0.602820745920746,0.5976072261072262
2001,17,0.6222839160839161,0.6371578088578088,0.6388578088578087,0.6299641025641025,0.6642202797202797,0.6808862470862471,0.6522727272727272,0.5749396270396269,0.5718153846153846,0.5883156177156177,0.6275505827505828
2001,33,0.6474265734265733,0.6568634032634032,0.6552039627039626,0.650009557109557,0.689034731934732,0.6951163170163169,0.6800941724941726,0.5960321678321677,0.599562937062937,0.5989934731934731,0.6427037296037296
2001,49,0.6904372960372959,0.6988764568764567,0.6961717948717948,0.7067130536130536,0.7393981351981351,0.7473750582750583,0.7236797202797203,0.6192762237762237,0.6319172494172494,0.6190538461538463,0.6477006993006993
2001,65,0.7610794871794873,0.7697675990675991,0.7599456876456877,0.7816981351981352,0.8212354312354311,0.8248412587412588,0.80158648018648,0.6650379953379953,0.6904629370629372,0.673834498834499,0.6976645687645687
2001,81,0.7051062937062936,0.714995337995338,0.6953638694638695,0.7417454545454546,0.7765461538461539,0.7689090909090908,0.7373508158508157,0.5929191142191141,0.6153692307692307,0.6056463869463868,0.6376412587412589
